Image,Bruit,Taux d'erreur moyen (%),Écart-type (%)
alfa2.bmp,"m1=1, sig1=1, m2=4, sig2=1",26.349166870117184,0.05214787770445892
alfa2.bmp,"m1=1, sig1=1, m2=2, sig2=1",32.37811279296875,21.15171567489857
alfa2.bmp,"m1=1, sig1=1, m2=1, sig2=9",49.2742919921875,35.9407414712083
beee2.bmp,"m1=1, sig1=1, m2=4, sig2=1",30.65972900390625,0.050763732382922595
beee2.bmp,"m1=1, sig1=1, m2=2, sig2=1",34.2247314453125,17.964449076859545
beee2.bmp,"m1=1, sig1=1, m2=1, sig2=9",49.32696533203125,33.832597580502465
cible2.bmp,"m1=1, sig1=1, m2=4, sig2=1",33.12239074707031,6.124736098456315
cible2.bmp,"m1=1, sig1=1, m2=2, sig2=1",27.709197998046875,4.5243672419537315
cible2.bmp,"m1=1, sig1=1, m2=1, sig2=9",19.496612548828125,12.983795622072481
city2.bmp,"m1=1, sig1=1, m2=4, sig2=1",42.09169006347656,0.0476193021965016
city2.bmp,"m1=1, sig1=1, m2=2, sig2=1",41.10003662109375,11.250928877027585
city2.bmp,"m1=1, sig1=1, m2=1, sig2=9",51.68806457519531,28.20225521059294
veau2.bmp,"m1=1, sig1=1, m2=4, sig2=1",53.711624145507805,0.7553627804937981
veau2.bmp,"m1=1, sig1=1, m2=2, sig2=1",46.83403015136719,3.229496382388184
veau2.bmp,"m1=1, sig1=1, m2=1, sig2=9",49.53703308105469,22.522726477534594
