Iteration,p1,p2,m1,m2,sig1,sig2
1,0.6681173855494639,0.33188261445053613,0.902526401645404,3.827680942181934,0.940486951942516,1.090735144935897
2,0.6714770376562101,0.32852296234378986,0.9138334999883515,3.8344842557126433,0.9481970469724655,1.10020689146299
3,0.6737709252488387,0.32622907475116125,0.9205108295338158,3.841229988068341,0.9536475386180113,1.1007607978943346
4,0.6757483692135298,0.32425163078647024,0.9253927021521539,3.8488680098295407,0.9572079136308526,1.098470671129669
5,0.6775419744268997,0.3224580255731003,0.9293601215104847,3.8567929712351168,0.9597961671572678,1.094958531517353
6,0.6792085720743467,0.3207914279256533,0.9328207374202931,3.8646746429062118,0.9618808052255255,1.090955687546355
7,0.6807766541645075,0.3192233458354925,0.9359733903249128,3.8723530760032525,0.9636917182532613,1.0868160426897515
8,0.6822612371829858,0.3177387628170142,0.9389162690838196,3.879753769873222,0.9653418960703603,1.0827114523426897
9,0.6836707548288029,0.3163292451711971,0.9416983598241793,3.886844888726824,0.9668868374449505,1.0787239407433329
10,0.6850104245498541,0.31498957545014594,0.9443445925196616,3.893615991051693,0.9683537277252209,1.0748909349640514
