Iteration,p1,p2,m1,m2,sig1,sig2
1,0.6704459395936169,0.32955406040638313,0.8937259118619545,3.866253166299616,0.9206660595610305,1.0488383011008588
2,0.6743548684863444,0.3256451315136556,0.9133863377836043,3.8612209821552654,0.9424281559192342,1.074376402198309
3,0.6770168896616824,0.3229831103383176,0.9239335727659428,3.8634085331442267,0.952946760164621,1.0831313194772105
4,0.6790866431085318,0.32091335689146816,0.9304676794433726,3.8685400237055223,0.9587216243696238,1.0848802457601212
5,0.6808420731691802,0.3191579268308198,0.9350806921639836,3.8748593007770578,0.9622940540053387,1.08351475168198
6,0.6824112553717216,0.31758874462827835,0.9387178306099546,3.88156931205805,0.9647915828187421,1.0807698306618747
7,0.6838559927504423,0.3161440072495577,0.9418255736333611,3.8882953571388543,0.9667430307278759,1.077458742009993
8,0.6852071626893393,0.31479283731066066,0.9446193991957896,3.8948610469058704,0.9684025051621467,1.073969914901456
9,0.6864808467707629,0.31351915322923707,0.9472046765319779,3.9011858038712184,0.9698933279725407,1.0704888587316221
10,0.6876859762880309,0.31231402371196915,0.9496336935885775,3.9072358968563625,0.9712755977721932,1.0671026319061427
