Iteration,p1,p2,m1,m2,sig1,sig2
1,0.34060785979132524,0.6593921402086748,1.4286185926684785,2.1030514808453207,1.544173544943514,1.7279272495744875
2,0.34239369555384364,0.6576063044461564,1.3840142648728448,2.1281069994608908,1.445033382160741,1.7627933107618805
3,0.34552382992680797,0.654476170073192,1.3056316537728538,2.1730470164959645,1.3483009623860358,1.7847894835217541
4,0.3503825164353143,0.6496174835646857,1.20752531391603,2.2324500444835635,1.2455473151182832,1.7981410720341797
5,0.357422966656616,0.642577033343384,1.102162820905752,2.3022858836804985,1.1379094607357774,1.803259817017602
6,0.36670934087733686,0.6332906591226631,1.0024757084559575,2.3776083070971903,1.0348581134355053,1.7997208892322762
7,0.377407975435111,0.622592024564889,0.9188277016195654,2.4519450544768153,0.9488677047593482,1.788277765646034
8,0.3879398183791274,0.6120601816208726,0.8549869356667021,2.5187896680499944,0.8867866768835506,1.7714781235540173
9,0.3970158176892644,0.6029841823107356,0.8087905538160993,2.574249442530089,0.8470163949604679,1.752589805873603
10,0.4043031056767496,0.5956968943232503,0.7760301624393378,2.6180813570116945,0.8237929258907923,1.7341906753807759
