Iteration,p1,p2,m1,m2,sig1,sig2
1,0.3408719371587555,0.6591280628412445,1.4259735537004283,2.095666948884571,1.540425802909049,1.7203264699856151
2,0.34259205982026436,0.6574079401797357,1.3829870941040745,2.1198205581617464,1.443950174464613,1.7545302441718134
3,0.345572756916939,0.654427243083061,1.3073126365594672,2.163136768769647,1.3507583785273714,1.7759978044401956
4,0.3501357225021803,0.6498642774978197,1.2122493114912654,2.220364352060887,1.252391405324396,1.788997518799023
5,0.3566759293363461,0.6433240706636538,1.1091882228156111,2.287752924067903,1.1489842676098847,1.7941041157023057
6,0.3652884302484619,0.6347115697515381,1.0099764731075662,2.3608432789447447,1.048257490917364,1.7909506818511445
7,0.3753271278648229,0.6246728721351771,0.9248331496757545,2.433709485330055,0.961656711778494,1.780103553440259
8,0.38541990966877226,0.6145800903312277,0.8585344045733437,2.50006636316423,0.8969390936375485,1.7638121883782216
9,0.39428871038551155,0.6057112896144885,0.8099596060520757,2.5557214500927627,0.8541616458845032,1.7451844727720864
10,0.4014759488506911,0.5985240511493088,0.7752893922019898,2.5999409992120164,0.8284914546120885,1.7268169038393726
