Iteration,p1,p2,m1,m2,sig1,sig2
1,0.08404720913664632,0.9159527908633537,2.4816068817233945,1.8110268868977675,1.7858693223225706,1.6710316016796356
2,0.08476194740225666,0.9152380525977434,2.549163980496279,1.8042466176359313,1.8512247839393392,1.6615689786519066
3,0.08580111606323601,0.914198883936764,2.6347038251887556,1.7953716243893247,1.8893857544156363,1.6532694748853505
4,0.08711374670516578,0.9128862532948342,2.7295594633460687,1.7851129934068553,1.9089818797644063,1.6455462865060138
5,0.08870001161913414,0.9112999883808659,2.828345533643217,1.7738538383400573,1.9154829490082328,1.6379808638676792
6,0.0905739544333995,0.9094260455666006,2.928093528748198,1.761746611422318,1.9120752473766212,1.6302969744231248
7,0.09275470589175011,0.9072452941082498,3.027430112487213,1.7487871081586923,1.9005496496134728,1.6222897714200402
8,0.09526594713937724,0.9047340528606228,3.1260348688550597,1.734855216768691,1.8818411447319763,1.6137678392422035
9,0.09813770877871435,0.9018622912212857,3.2243053185375885,1.7197318733674323,1.856280580001202,1.60451382686716
10,0.10140915589109496,0.898590844108905,3.3231468864072378,1.7030996402268859,1.823673918468339,1.5942544844283353
