Iteration,p1,p2,m1,m2,sig1,sig2
1,0.6693577989530544,0.33064220104694564,0.8895469766841764,3.846944079006014,0.9197904930747809,1.0410610544757692
2,0.6729621515722108,0.32703784842778916,0.9086688854164658,3.840190063036216,0.9414027264017392,1.067333640669366
3,0.675347494681144,0.32465250531885603,0.9187586144548112,3.8407402223873452,0.9517772757007948,1.0769896468884186
4,0.6771569434402129,0.32284305655978707,0.9248557503096975,3.844328523550165,0.957385991977971,1.079658763452613
5,0.6786631505635761,0.32133684943642393,0.9290330412844932,3.8491905779223403,0.9607679300887335,1.0791809700130284
6,0.6799923509517956,0.32000764904820445,0.9322331050186511,3.8545199994991304,0.9630559021713959,1.0772769256898458
7,0.6812059220523565,0.3187940779476435,0.9349053320389301,3.8599343599619065,0.9647854793542505,1.0747592297250175
8,0.6823347868065692,0.3176652131934308,0.9372691204452446,3.8652514895884513,0.9662167225726837,1.072019774856874
9,0.6833951576463495,0.3166048423536505,0.9394332084425326,3.8703866601483097,0.9674775006147631,1.0692480267192173
10,0.684396047148072,0.315603952851928,0.9414523556384649,3.875303151739501,0.968631133112445,1.0665343632084159
