Iteration,p1,p2,m1,m2,sig1,sig2
1,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
2,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
3,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
4,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
5,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
6,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
7,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
8,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
9,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
10,0.5,0.5,1.881252034936968,1.881252034936968,1.6898097330392203,1.6898097330392203
